"Compound"	"Reactions of compounds"
CPD-14461	RXN-13470 // RXN-14182
CPD-14430	RXN-13448
CPD-14427	RXN-13448 // RXN-13450 // 2.4.1.104-RXN // RXN-13454 // RXN-13452 // RXN-13453
CPD-8192	RXN-8383 // RXN-8382
CPD-19825	""
CPD-19822	RXN-18495
CPD-14452	RXN-13475
CPD-14428	RXN-13454
DAPHNIN	RXN-13453 // 2.4.1.104-RXN
CPD-8097	RXN-13473 // RXN-13474 // RXN-14182 // RXN-13466 // RXN-13472 // RXN-13471 // RXN-18496 // RXN-13470 // RXN-13464 // RXN-16763 // RXN-14165
CPD-19823	RXN-18496
CPD-14453	RXN-13475 // RXN-13474
CPD-14429	RXN-13464 // RXN-13466
COUMARIN	RXN-8250 // RXN-8037
SCOPOLETIN	SCOPOLETIN-GLUCOSYLTRANSFERASE-RXN // RXN-14179 // RXN-12350 // RXN-14072 // RXN-13473
CPD-8186	RXN-14165 // RXN-18495 // RXN-8382 // RXN-18497 // RXN-14168 // RXN-12965
5-METHOXYFURANOCOUMARIN	2.1.1.69-RXN
PHYTOALEXIN-CMPD	RXN-8387 // RXN-8386
CPD-8191	RXN-8386 // RXN-8383
BERGAPTOL	2.1.1.69-RXN // RXN-8387
CPD-9815	RXN-9690 // RXN-9691 // RXN-9689
CPD-15049	RXN-14041
CPD-9834	RXN-9692 // RXN-9691
CPD-15055	RXN-14041
CPD-18961	""
CPD-17075	RXN-15818
CPD-8605	RXN-13913 // RXN-13914 // RXN-8452 // RXN-8451
CPD-12570	RXN-13196 // RXN-11585 // RXN-11582
334578-HEXAHYDROXYFLAVONE	2.1.1.88-RXN // RXN-15523 // RXN-15522
CPD-13503	""
5734-TETRAHYDROXYFLAVONE	RXN-12616 // FLAVONE-7-O-BETA-GLUCOSYLTRANSFERASE-RXN // RXN-15524 // RXN-9081 // LUTEOLIN-7-O-GLUCORONOSYLTRANSFERASE-RXN // RXN-15291 // RXN-7653 // RXN-7687 // RXN-7651
CPD-10291	""
CPD-520	FLAVONOL-3-SULFOTRANSFERASE-RXN // QUERCETIN-23-DIOXYGENASE-RXN // RXN-8267 // QUERCETIN-3-O-METHYLTRANSFERASE-RXN // RXN-8262 // RXN-13898 // RXN-13906 // RXN-10788 // RXN-8264 // RXN-15522 // RXN1F-462 // RXN-14109 // RXN-13789 // RXN-13785 // QUERCITRINASE-RXN // RXN-527 // RXN-12510 // RXN-12530
CPD-11945	RXN-14424 // RXN-14423
CPD-7117	RXN-8206 // RXN-8178 // RXN-14448 // RXN-14442 // RXN-14441 // RXN-8228 // RXN-15350 // RXN-16778 // RXN-14445 // RXN-7815
CPD-15197	""
CPD-16604	RXN-15374
CPD-12729	RXN-11756
CPD-16596	""
PELARGONIDIN-3-GLUCOSIDE-CMPD	RXN-8177 // RXN-7834 // RXN-7828 // RXN-7830 // RXN-14447 // RXN-14440 // RXN-14439 // RXN-16777 // RXN-7997 // RXN-7998 // RXN-14444 // PELUDP-RXN
CPD-16561	RXN-15354
CPD-7840	""
CPD-16558	RXN-15352 // RXN-15351
CPD-7144	RXN-7832 // RXN-7830
CPD-15288	RXN-14445
CPD-16605	""
CPD-15001	2.4.1.116-RXN // RXN-15355
CPD-16602	RXN-15373 // RXN-15372
CPD-16594	""
CPD-7841	""
CPD-16559	RXN-15353 // RXN-15352
CPD-7145	RXN-15351 // RXN-15350
CPD-16543	""
CPD-19094	RXN-17675
CPD-15196	""
CPD-16603	RXN-15374 // RXN-15373
CPD-16595	""
CPD1F-766	RXN-15335 // RXN-15326 // RXN-8176 // RXN-14446 // RXN-14434 // RXN-14432 // RXN-13970 // RXN-13967 // RXN-13969 // RXN-8169 // RXN-15355 // RXN-5062 // RXN-8204 // RXN-15327 // RXN-16783 // RXN-14443 // RXN-11756 // RXN1F-775 // RXN-14436 // RXN-14435
CPD-16560	RXN-15354 // RXN-15353
CPD-7700	RXN-15336
CPD-16544	""
CPD-7386	RXN-8006 // RXN-8005
CPD-15269	RXN-14424
CPD-15272	RXN-14427
CPD-15630	RXN-14749 // RXN-15528 // RXN-15529 // RXN-14748
CPD-15484	RXN-14660
CPD-15481	RXN-14658
CPD-15476	RXN-14639 // RXN-14656 // RXN-14657
CPD-15468	RXN-14655 // RXN-14635
CPD-15631	RXN-14751 // RXN-14750
CPD-15485	RXN-14660
CPD-15482	RXN-14659
CPD-15477	RXN-14657 // RXN-15530 // RXN-14752 // RXN-14749
CPD-15473	RXN-14635 // RXN-14656
CPD-15632	RXN-14752 // RXN-15529 // RXN-14751
CPD-15486	RXN-14748 // RXN-14750 // RXN-14661
CPD-15483	RXN-14659
CPD-15478	""
CPD-15474	RXN-14655 // RXN-14639
CPD-15634	RXN-14754
CPD-20014	RXN-18730
CPD-14825	RXN-13801
LUTEOLIN-7-O-BETA-D-GLUCOSIDE	RXN-5004 // RXN-13801 // FLAVONE-7-O-BETA-GLUCOSYLTRANSFERASE-RXN
CPD-9710	RXN-9163
CPD-3343	RXN-3481
CPD-9677	RXN-9162 // RXN-9165
CPD-9531	RXN-9056 // RXN-9054 // RXN-9053
CPD-14114	RXN-13102 // RXN-13101
CPD-5421	RXN-5502 // RXN-5501
CPD-10081	RXN-9438
DAIDZEIN	RXN-3481 // RXN-4501 // RXN-3542 // RXN-11640 // RXN-3584 // RXN-3591 // RXN-3284
CPD-4567	""
CPD-9711	RXN-9162
CPD-4562	RXN-4763 // RXN-4762
CPD-9693	RXN-9163 // RXN-9164
CPD-17611	RXN-16373
CPD-9532	RXN-9057 // RXN-9056
CPD-14115	RXN-15589 // RXN-13102
CPD-7026	RXN-9437 // RXN-9439
CPD-11779	RXN-11643
CPD-4569	""
2-HYDROXYISOFLAVANONE	RXN-3284 // RXN-3624 // RXN-3283
CPD-9715	RXN-9164 // RXN-9165 // RXN-9166
CPD-4564	RXN-4704 // RXN-4703
CPD-9695	3.2.1.161-RXN // RXN-9166
CPD-3141	RXN-7141 // RXN-7143 // RXN-7780 // RXN-7781 // RXN-3645 // RXN-3642 // RXN-3581 // RXN-3590 // RXN-3303
CPD-9539	RXN-9054 // RXN-9052 // RXN-3763 // RXN-16373 // RXN-3762
CPD-15821	""
CPD-9530	RXN-9053 // RXN-9052
CPD-12609	RXN-11641 // RXN-13101 // RXN-11640
CPD-4571	""
CPD-10077	RXN-9438 // RXN-9439 // RXN-9437
CPD-9716	3.2.1.161-RXN
CPD-4565	""
CPD-4462	RXN-4561 // RXN-2054
CPD-3631	RXN-4319 // RXN-16215 // RXN-16256 // RXN-2054 // RXN-4322 // RXN-13700
CPD-20031	RXN-18736
CPD-3402	RXN-8936 // RXN-4201 // RXN-16216 // RXN-16255 // RXN-3602 // RXN-4207
CPD-4407	RXN-4513
CPD-20043	""
CPD-4405	RXN-4511
CPD-4406	RXN-4512
CPD-20042	""
CPD-3942	RXN-4002 // RXN-16377 // RXN-4561 // RXN-16217
CPD-17458	RXN-16216
CPD-4884	RXN-16218 // RXN-5112
CPD-17459	RXN-16218
CPD-4885	RXN-5112 // RXN-5111 // 4.2.1.97-RXN
CPD-17550	""
CPD-17457	RXN-16215
CPD-15823	""
CPD-8144	RXN-8356 // RXN-8355
CPD-15063	RXN-14058
CPD-8138	RXN-8354
CPD-13502	""
CPD-18170	RXN-16846
CPD-12727	RXN-14060 // RXN-14239 // RXN-14062
CPD-18157	RXN-16839
CPD-12724	RXN-11755 // RXN-14240 // RXN-14238 // RXN-11760 // RXN-14237
CPD-15176	RXN-14238
CPD-10348	RXN-9716
CPD-9587	RXN-9085 // RXN-9082
CPD-15109	RXN-14111
CPD-8153	RXN-8356
CPD-8141	RXN-8355
CPD-13511	RXN-13934 // RXN-13933 // RXN-13932 // RXN-13906
CPD-431	RXN-7651 // APIGENIN-4-O-METHYLTRANSFERASE-RXN // RXN-14661 // RXN-5021 // RXN-9704 // RXN-7750 // RXN-7650 // RXN-7686
CPD-12728	RXN-14062 // RXN-14060
CPD-18158	RXN-16840
CPD-12725	RXN-11760 // RXN-11755
CPD-15822	""
CPD-10349	RXN-16839 // RXN-9714
CPD-9588	RXN-9085
CPD-15172	RXN-14240
CPD-10345	RXN-9717
CPD-8184	RXN-14237 // RXN-8379
CPD-8143	RXN-8354
CPD-14824	RXN-13800
CPD-7954	""
CPD-12734	RXN-14111
CPD-18169	RXN-16845
CPD-12726	RXN-14058
CPD-18156	RXN-16846 // RXN-16838
CPD-12571	RXN-11583 // RXN-11582
CPD1F-90	2.1.1.155-RXN // RXN-12510 // RXN-13935 // RXN1F-474 // 2.4.1.234-RXN // RXN-14702 // RXN-8263 // RXN1F-461 // RXN1F-93
CPD-15175	RXN-14239
CPD-10347	RXN-9716 // RXN-9715
CPD-8485	""
PHLORETIN	PHLORETIN-HYDROLASE-RXN // RXN-11465 // RXN-18724 // RXN-11468
CPD-20010	RXN-18725 // RXN-18724
CPD-20025	""
CPD-12447	RXN-11465
CPD-7069	""
CPD-15275	""
CPD-16541	RXN-15328 // RXN-15327
CPD-15012	RXN-15321 // RXN-13974
CPD-16538	RXN-15332 // RXN-15331
CPD-14998	RXN-13974 // RXN-13960
CPD-16535	RXN-15329 // RXN-16780 // RXN-16784 // RXN-15326
CPD-7864	RXN-14496 // RXN-13411 // RXN-8209
CPD-15371	RXN-14496
CPD-18094	RXN-16780
CPD-18091	RXN-16779 // RXN-16781 // RXN-16782 // RXN-16777
CPD-15287	RXN-14444
CPD-16539	RXN-15333 // RXN-15332
CPD-14999	RXN-13962 // RXN-15322 // RXN-15323 // RXN-15321
CPD-16536	RXN-15330 // RXN-15328 // RXN-15329
CPD-16528	RXN-15322
CPD-18095	""
CPD-18092	RXN-16778
CPD-15294	""
CPD-16540	RXN-15333
CPD-15000	RXN-13962
CPD-16537	RXN-15331 // RXN-15330
CPD-16529	RXN-15323
CPD-7096	RXN-14427 // RXN-14426
CPD-18093	RXN-16779
CPD-15295	""
CPD-7392	RXN-8008 // RXN-8012
CPD-2982	""
CPD-17480	RXN-16234 // RXN-16233
CPD-13288	""
CPD-8634	RXN-6242 // RXN-8454 // RXN-3102
CPD-3001	""
CPD-17481	RXN-16234
CPD-17478	RXN-16235 // RXN-16233 // RXN-16232
CPD-8635	RXN-8456
CPD-7389	RXN-8012
CPD-17482	RXN-16236
CPD-17479	RXN-16236 // RXN-16235
MYRICETIN	RXN-13910 // RXN-13912 // RXN-8451 // RXN-13822 // RXN-8450
CPD-474	RXN-13718 // RXN-527 // TAXIFOLIN-8-MONOOXYGENASE-RXN // RXN-600 // RXN-525 // RXN-7775
SYRINGETIN	RXN-13917 // RXN-13919 // RXN-13920 // RXN-8452
CPD-8910	RXN-12591 // RXN-15442 // RXN-8684
CPD-17601	RXN-16365
CPD-16683	RXN-15443 // RXN-15442
CPD-8907	RXN-8678 // RXN-8679
CPD-17598	RXN-16362
CPD-14839	RXN-13821 // RXN-13820 // RXN-13819
CPD-8961	RXN-8738 // RXN-8736
CPD-19804	""
CPD-17594	RXN-16343 // RXN-16342
CPD-14070	""
CPD-8958	RXN-8735 // RXN-8737 // RXN-17349 // RXN-16344
CPD-19801	RXN-18466
CPD-16755	""
CPD-13456	RXN-12441
CPD-8922	RXN-8705 // RXN-13817 // RXN-18465 // RXN-8696
CPD-18757	RXN-17350
CPD-16748	RXN-15493
CPD-8911	RXN-8681 // RXN-8680
CPD-17609	""
CPD-16684	RXN-15443
CPD-8908	RXN-8684 // RXN-8683 // RXN-12451
CPD-17599	RXN-17347 // RXN-16361
CPD-14840	RXN-13820
CPD-8962	RXN-15492 // RXN-15506 // RXN-8738
CPD-8905	RXN-8695 // RXN-12451 // RXN-8677 // RXN-8678
CPD-17595	RXN-16344 // RXN-17348 // RXN-16343
CPD-14837	RXN-13818 // RXN-13817
CPD-8959	RXN-15491 // RXN-15507
CPD-19802	""
CPD-17592	RXN-16341 // RXN-16340
CPD-13464	RXN-12452
CPD-8927	RXN-8704 // RXN-8703
CPD-18758	RXN-8737
CPD-16749	RXN-15493
CPD-8912	RXN-16340 // RXN-16364 // RXN-16365 // RXN-16360 // RXN-8681 // RXN-13433
CPD-18755	RXN-17348 // RXN-17347
CPD-16746	RXN-15507 // RXN-15491
CPD-8909	RXN-8680 // RXN-13433 // RXN-8679
CPD-17600	RXN-16364
CPD-14841	RXN-13821
CPD-8906	RXN-8683 // RXN-17353
CPD-17597	RXN-16362 // RXN-16361 // RXN-16360
CPD-14838	RXN-13819 // RXN-13818
CPD-8960	RXN-8736 // RXN-8735
CPD-19803	""
CPD-17593	RXN-16342 // RXN-16341
CPD-13465	RXN-12453 // RXN-12452
CPD-8928	RXN-8704 // RXN-8705
CPD-19800	RXN-18466 // RXN-18465
CPD-16754	""
CPD-13455	RXN-12441 // RXN-12591 // RXN-12453
CPD-8921	RXN-8696 // RXN-8703 // RXN-8695
CPD-18756	RXN-17350 // RXN-17349
CPD-16747	RXN-15506 // RXN-15492
CPD-8098	RXN-8332 // RXN-8336
CPD-11724	RXN-10825
CPD-676	RXN-1104 // RXN-1126 // CAFFEATE-34-DIOXYGENASE-RXN // RXN-8336 // RXN-16745 // RXN-1103 // CHLOROGENATE-HYDROLASE-RXN // RXN-14988 // RXN-14987
CPD-9207	RXN-8857 // RXN-13485
1236-TETRAKIS-O-GALLOYL-BETA-D-GLUCOS	2.3.1.143-RXN // RXN-8717
1-O-GALLOYL-BETA-D-GLUCOSE	RXN-8721 // RXN-8722 // RXN-8723 // RXN-8724 // RXN-8725 // RXN-8726 // RXN-8727 // RXN-15318 // RXN-15320 // 2.3.1.90-RXN // 2.3.1.143-RXN // RXN-8716 // RXN-8717 // GALLATE-1-BETA-GLUCOSYLTRANSFERASE-RXN
CPD-8947	RXN-8717 // RXN-8716 // RXN-8718
1-O6-O-DIGALLOYL-BETA-D-GLUCOSE	RXN-8718 // RXN-8716 // 2.3.1.90-RXN
12346-PENTAKIS-O-GALLOYL-BETA-D-GLUC	RXN-8719 // RXN-8721 // RXN-8722 // RXN-8723 // 2.3.1.143-RXN
CINNAMOYL-COA	2.8.3.17-RXN // RXN-7645 // RXN-8713 // RXN-11238 // RXN-11255 // PINOSYLVIN-SYNTHASE-RXN // RXN-15658 // RXN-2002 // RXN-8712 // RXN-2001 // CINNAMOYL-COA-REDUCTASE-RXN
CPD-11549	""
CPD-15367	RXN-16156 // RXN-16157
CPD-14404	RXN-12968 // RXN-12777
CPD-12896	RXN-11915 // RXN-11914
CPD-12112	RXN-2009 // RXN-11171 // RXN-11740 // RXN-11739 // RXN-2008
3-HYDROXYADIPYL-COA	RXN-2441 // RXN0-2044 // RXN-2425 // RXN0-2043
GAMMA-BUTYROBETAINYL-COA	RXN0-3601 // CROBETREDUCT-RXN
CPD-7243	RXN-9798 // 4.2.1.107-RXN
CPD-19874	RXN-18585
CPD-17262	RXN-16020 // RXN-16019
CPD-15363	RXN-16158 // RXN-14486
CPD-14300	RXN-13322 // RXN-14484
CPD-11528	RXN-10701 // RXN-10703
CPD-10270	""
3-HYDROXY-3-METHYL-GLUTARYL-COA	METHYLGLUTACONYL-COA-HYDRATASE-RXN // HYDROXYMETHYLGLUTARYL-COA-LYASE-RXN // HYDROXYMETHYLGLUTARYL-COA-HYDROLASE-RXN // RXN-14051 // 2.8.3.13-RXN // HYDROXYMETHYLGLUTARYL-COA-REDUCTASE-RXN // HYDROXYMETHYLGLUTARYL-COA-SYNTHASE-RXN // 1.1.1.34-RXN
DEPHOSPHO-COA	DEPHOSPHOCOAKIN-RXN // 2.7.8.25-RXN // PANTEPADENYLYLTRAN-RXN
CPD-625	4.1.3.35-RXN
CPD-18832	RXN-17419 // RXN-17416
CPD-16937	RXN-15715 // RXN-15716 // RXN-15714
CPD-14809	RXN-13782
CPD-14010	RXN-12965 // RXN-12963
CPD-12649	RXN-11678
CPD-11525	RXN-10707 // RXN-10700
2-METHYL-ACETO-ACETYL-COA	METHYLACETOACETYLCOATHIOL-RXN // 1.1.1.178-RXN
METHACRYLYL-COA	RXN-16193 // MEPROPCOA-FAD-RXN // METHYLACYLYLCOA-HYDROXY-RXN
CPD0-1673	""
CPD-18440	RXN-17071
CPD-16582	RXN-15362 // RXN-15375 // RXN-15363
CPD-14450	RXN-12678 // RXN-12676
CPD-13546	RXN-12572 // RXN-12571
CPD-12646	RXN-16097 // RXN-16098 // RXN-11677 // RXN-17105
CPD-11522	RXN-10704 // RXN-10706
BENZOYLCOA	ANTHRANILATE-N-BENZOYLTRANSFERASE-RXN // ORNITHINE-N-BENZOYLTRANSFERASE-RXN // RXN-2005 // 2.3.1.166-RXN // RXN-8859 // RXN-9201 // RXN-2224 // RXN-2008 // RXN-11265 // RXN-11447 // RXN-11448 // 1.14.13.58-RXN // 2.3.1.177-RXN // RXN-7481 // GLYCINE-N-BENZOYLTRANSFERASE-RXN // OHBENZCOARED-RXN // RXN-16658 // RXN-16661 // RXN-16662 // RXN-2401 // RXN-18667 // RXN-6724 // RXN-18671 // RXN-904 // 1.3.99.15-RXN // AMBENCOATHAUERA-RXN // PHENGLYOXRED-RXN // RXN-2006 // 1.2.1.58-RXN // BENZOATE--COA-LIGASE-RXN
2-AMINOBENZOYL-COA	ANTHRANILOYL-COA-MONOOXYGENASE-RXN // RXN-14835 // AMBENCOATHAUERA-RXN // RXN-15021 // RXN-17710 // RXN-17709 // AMINOBENZCOALIG-RXN
L-CARNITINYL-COA	CARNDETRU-RXN // LCARNCOALIG-RXN // CARNCOARACE-RXN // RXN-14936 // RXN0-3601
CPD-9408	RXN-13230 // RXN-18381 // RXN-8959 // RXN-8960 // RXN-12168
CPD-264	2.3.1.151-RXN // RXN0-7046 // R246-RXN // 1.14.13.58-RXN // RXN-7488
CPD-18003	RXN-16702 // RXN-16745
CPD-15897	RXN-16239
CPD-14419	RXN-12994 // RXN-13001
CPD-12905	RXN-11920 // RXN-11919
CPD-12449	RXN-11468 // RXN-11467
CPD-11519	RXN-10697 // RXN-10698
5-HYDROXYPENTANOYL-COA	5-HYDROXYPENTANOATE-COA-TRANSFERASE-RXN
ISOBUTYRYL-COA	2.3.1.168-RXN // MEPROPCOA-FAD-RXN // RXN-8926 // RXN-7805 // ISOBUTYRYL-COA-MUTASE-RXN // RXN-18447 // 1.2.7.7-RXN // RXN-13045 // RXN-13671 // 1.2.1.25-RXN
CPD-76	GERANOYL-COA-CARBOXYLASE-RXN // ISOHEXENYLGLUTACONYL-COA-HYDRATASE-RXN
CPD-203	BIOTIN--COA-LIGASE-RXN
CPD-17635	RXN-8958 // RXN-16391
CPD-15368	RXN-14493 // RXN-14492
CPD-14405	RXN-12969 // RXN-12968
CPD-12897	RXN-11917 // 4.1.3.26-RXN
CPD-12113	RXN-11172
CPD-1137	RXN-8987 // RXN-8988 // ITACONYL-COA-HYDRATASE-RXN
3-METHYL-CROTONYL-COA	METHYLCROTONYL-COA-CARBOXYLASE-RXN // RXN0-2301 // RXN-14264 // RXN-11921
SUC-COA	TETHYDPICSUCC-RXN // HOMSUCTRAN-RXN // 5-AMINOLEVULINIC-ACID-SYNTHASE-RXN // RXN-943 // RXN-10996 // RXN-12168 // RXN-3641 // RXN-8964 // 2.8.3.7-RXN // RXN-8966 // RXN-14935 // SUCCINYL-COA-HYDROLASE-RXN // RXN-14933 // RXN-8987 // RXN0-1147 // RXN-11007 // RXNI-2 // 3-OXOACID-COA-TRANSFERASE-RXN // RXN-7561 // ARGININE-N-SUCCINYLTRANSFERASE-RXN // 3-OXOADIPATE-COA-TRANSFERASE-RXN // RXN-10085 // OXALATE-COA-TRANSFERASE-RXN // 2.8.3.13-RXN // RXN-14724 // RXN-864 // RXN-8807 // RXN-8891 // 2-OXOGLUTARATE-SYNTHASE-RXN // RXN-904 // SUCCINATE--COA-LIGASE-GDP-FORMING-RXN // SUCCCOASYN-RXN // 2OXOGLUTARATEDEH-RXN // OXOGLUTARATE-DEHYDROGENASE-NADP+-RXN // RXN-12511 // RXN-945 // RXN0-268 // METHYLMALONYL-COA-MUT-RXN
GAMMA-LINOLENOYL-COA	RXN-12974 // RXN-12777 // RXN-16043 // 1.14.19.3-RXN
CPD-7257	2.3.1.176-RXN // RXN-9799
CPD-201	3.1.2.23-RXN // RXN-11246 // OHBENZCOARED-RXN // RXN-9835 // RXN3O-1120 // 3.8.1.7-RXN // 4-HYDROXYBENZOATE--COA-LIGASE-RXN
CPD-17263	RXN-16021 // RXN-16020
CPD-15365	RXN-16150 // RXN-16153
CPD-14392	RXN-16041 // RXN-16019 // RXN-13426
CPD-12703	RXN-11741 // RXN-11740
CPD-11529	RXN-10708 // RXN-10701
CPD-10505	RXN-9797 // RXN-9798
3-HYDROXY-ISOVALERYL-COA	RXN-14266
PAP-MALONYL-COA	""
CPD-71	1.17.99.3-RXN // RXN-9797 // 6.2.1.29-RXN
CPD-19113	RXN-17704 // RXN-17703 // RXN-17702 // RXN-17710
CPD-17245	RXN-16011 // RXN-16010
CPD-15361	RXN-14484 // RXN-14485
CPD-14205	RXN-13230 // RXN-8965
CPD-11526	RXN-10705 // RXN-10707
CPD-10054	RXN-9406
2-METHYL-BUTYRYL-COA	2-MEBUCOA-FAD-RXN // 2-METHYLACYL-COA-DEHYDROGENASE-RXN // RXN-17596 // MBCOA-DHLIPOAMIDE-RXN // RXN-18439 // RXN-15031 // RXN-18448 // 2KETO-3METHYLVALERATE-RXN
OH-CROTONYL-COA	RXN-18383
CROTONOBETAINYL-COA	RXN-14936 // CROTCOALIG-RXN // CROBETREDUCT-RXN // CARNDETRU-RXN
CPD-18820	RXN-17401 // RXN-17400
CPD-16851	RXN-13097 // RXN-13096
CPD-14615	RXN-13666 // RXN-13665 // RXN-13612 // RXN-7852 // RXN-13663
CPD-13547	RXN-16010 // RXN-12573 // RXN-12572
CPD-12647	RXN-12998 // RXN-12997 // RXN-16100 // RXN-11678 // RXN-17106
CPD-11523	RXN-10704 // RXN-10702
2-HYDROXYGLUTARYL-COA	RXN-1083 // RXN-1082
LINOLENOYL-COA	RXN-13426 // RXN-13441 // LINOLENOYL-RXN // RXN-16228
CPD-9409	RXN-8961 // RXN-8960
CPD-317	COA-DISULFIDE-REDUCTASE-NADH-RXN // RXN-16679
CPD-18078	RXN-16763 // RXN-16762
CPD-15899	""
CPD-14420	RXN-12997 // RXN-13001
CPD-12906	RXN-11921 // RXN-11920
CPD-12454	""
CPD-11520	RXN-10699 // RXN-10698
